match_id,season,grade,round_type,round,full_round,match_date,home_team_id,away_team_id,home_goals,away_goals,status
,2022,first_grade,regular,11,Round 11,2022-06-13 05:00:00,Macquarie Dragons FC,Pennant Hills FC,2,0,complete
,2022,first_grade,regular,11,Round 11,2022-06-13 05:00:00,Normanhurst Eagles FC,North Epping Rangers FC,0,1,complete
,2022,reserve_grade,regular,11,Round 11,2022-08-09 09:30:00,Normanhurst Eagles FC,North Epping Rangers FC,3,1,complete
,2022,reserve_grade,regular,12,Round 12,2022-06-18 03:00:00,Ryde Saints United FC,Epping Eastwood FC,2,3,complete
,2022,reserve_grade,regular,12,Round 12,2022-06-18 03:00:00,West Pennant Hills Cherrybrook FC,Eastwood St Andrews FC,9,0,complete
,2022,reserve_grade,regular,12,Round 12,2022-06-18 03:00:00,Pennant Hills FC,West Ryde Rovers FC,2,2,complete
,2022,reserve_grade,regular,12,Round 12,2022-06-18 03:00:00,Normanhurst Eagles FC,Hills Hawks FC,2,3,complete
,2022,reserve_grade,regular,12,Round 12,2022-06-18 03:00:00,North Epping Rangers FC,Macquarie Dragons FC,1,4,complete
,2022,first_grade,regular,12,Round 12,2022-06-18 05:00:00,Ryde Saints United FC,Epping Eastwood FC,0,0,complete
,2022,first_grade,regular,12,Round 12,2022-06-18 05:00:00,West Pennant Hills Cherrybrook FC,Eastwood St Andrews FC,5,3,complete
,2022,first_grade,regular,12,Round 12,2022-06-18 05:00:00,Pennant Hills FC,West Ryde Rovers FC,0,3,complete
,2022,first_grade,regular,12,Round 12,2022-06-18 05:00:00,Normanhurst Eagles FC,Hills Hawks FC,4,3,complete
,2022,first_grade,regular,12,Round 12,2022-06-18 05:00:00,North Epping Rangers FC,Macquarie Dragons FC,0,0,complete
,2022,reserve_grade,regular,13,Round 13,2022-06-25 03:00:00,Epping Eastwood FC,Eastwood St Andrews FC,0,0,complete
,2022,reserve_grade,regular,13,Round 13,2022-06-25 03:00:00,Ryde Saints United FC,Pennant Hills FC,1,2,complete
,2022,reserve_grade,regular,13,Round 13,2022-06-25 03:00:00,Normanhurst Eagles FC,West Pennant Hills Cherrybrook FC,0,0,complete
,2022,reserve_grade,regular,13,Round 13,2022-06-25 03:00:00,West Ryde Rovers FC,North Epping Rangers FC,8,1,complete
,2022,reserve_grade,regular,13,Round 13,2022-06-25 03:00:00,Macquarie Dragons FC,Hills Hawks FC,2,1,complete
,2022,first_grade,regular,13,Round 13,2022-06-25 05:00:00,Epping Eastwood FC,Eastwood St Andrews FC,0,2,complete
,2022,first_grade,regular,13,Round 13,2022-06-25 05:00:00,Ryde Saints United FC,Pennant Hills FC,1,2,complete
,2022,first_grade,regular,13,Round 13,2022-06-25 05:00:00,Normanhurst Eagles FC,West Pennant Hills Cherrybrook FC,3,1,complete
,2022,first_grade,regular,13,Round 13,2022-06-25 05:00:00,West Ryde Rovers FC,North Epping Rangers FC,3,1,complete
,2022,first_grade,regular,13,Round 13,2022-06-25 05:00:00,Macquarie Dragons FC,Hills Hawks FC,2,1,complete
