match_id,season,round,home_team_id,away_team_id,home_elo_pre,away_elo_pre,prob_win,prob_draw,prob_loss,predicted_xg_home,predicted_xg_away,actual_home_goals,actual_away_goals,actual_outcome
,2023,9,Epping Eastwood FC,Hills Hawks FC,1514.32,1498.77,0.55734,0.14847,0.29419,3.817,2.929,3,2,1
,2023,9,West Ryde Rovers FC,Macquarie Dragons FC,1532.42,1513.91,0.50349,0.15884,0.33767,3.427,2.89,2,1,1
,2023,9,Normanhurst Eagles FC,West Pennant Hills Cherrybrook FC,1525.66,1604.85,0.28723,0.15431,0.55846,2.673,3.555,0,1,-1
,2023,9,Ryde Saints United FC,Pennant Hills FC,1446.95,1473.14,0.37899,0.16929,0.45171,2.778,3.002,2,0,1
,2023,9,Eastwood St Andrews FC,St Patrick's FC,1454.66,1489.85,0.33606,0.15065,0.51329,3.174,3.775,3,2,1
,2023,10,Epping Eastwood FC,West Ryde Rovers FC,1518.56,1536.62,0.49203,0.15384,0.35413,3.631,3.169,3,2,1
,2023,10,Hills Hawks FC,West Pennant Hills Cherrybrook FC,1494.52,1609.69,0.18473,0.12552,0.68975,2.471,4.261,1,3,-1
,2023,10,Ryde Saints United FC,Macquarie Dragons FC,1452.37,1509.71,0.35633,0.16731,0.47636,2.731,3.103,0,2,-1
,2023,10,St Patrick's FC,Normanhurst Eagles FC,1484.77,1520.82,0.33341,0.16204,0.50455,2.762,3.305,1,1,0
,2023,10,Eastwood St Andrews FC,Pennant Hills FC,1459.74,1467.72,0.36411,0.15491,0.48098,3.187,3.576,3,2,1
,2023,11,Epping Eastwood FC,West Pennant Hills Cherrybrook FC,1523.21,1614.22,0.25357,0.14156,0.60487,2.786,3.99,0,3,-1
,2023,11,West Ryde Rovers FC,Ryde Saints United FC,1531.98,1446.82,0.67363,0.13315,0.19322,3.974,2.336,3,1,1
,2023,11,St Patrick's FC,Hills Hawks FC,1484.56,1489.99,0.46483,0.15703,0.37814,3.467,3.181,0,3,-1
,2023,11,Macquarie Dragons FC,Eastwood St Andrews FC,1515.25,1464.22,0.69532,0.12287,0.18181,4.368,2.523,0,1,-1
,2023,11,Pennant Hills FC,Normanhurst Eagles FC,1463.24,1521.03,0.33236,0.16579,0.50185,2.643,3.171,0,0,0
,2023,12,Ryde Saints United FC,Epping Eastwood FC,1443.51,1517.17,0.30723,0.1548,0.53797,2.815,3.57,0,1,-1
,2023,12,West Pennant Hills Cherrybrook FC,St Patrick's FC,1620.25,1476.86,0.86927,0.07074,0.05999,4.877,1.593,2,0,1
,2023,12,Eastwood St Andrews FC,West Ryde Rovers FC,1470.43,1535.29,0.31144,0.14401,0.54455,3.251,4.066,1,3,-1
,2023,12,Hills Hawks FC,Pennant Hills FC,1497.7,1463.35,0.56599,0.15187,0.28214,3.641,2.708,5,0,1
,2023,12,Normanhurst Eagles FC,Macquarie Dragons FC,1520.92,1509.04,0.56636,0.16086,0.27278,3.28,2.367,1,1,0
,2023,13,Epping Eastwood FC,St Patrick's FC,1521.79,1474.31,0.64184,0.13757,0.22059,3.984,2.545,1,2,-1
,2023,13,Ryde Saints United FC,Eastwood St Andrews FC,1438.89,1465.19,0.50096,0.15461,0.34443,3.6,3.08,2,4,-1
