K_SETTLED,HFA,ELO_TO_GOAL_RATIO,REGRESSION_FACTOR,brier,logloss,n
30,0,100,0.7,0.5916008450283419,0.9919552173183074,187
25,40,65,0.3,0.591750687024599,0.9965865678816981,187
15,20,75,0.3,0.5918801572240644,0.9918758709623039,187
15,30,65,0.3,0.5918934987705885,0.9939718313441812,187
15,0,90,0.7,0.5919815437529414,0.9922680866089991,187
20,0,90,0.7,0.5920577238764707,0.992880504754548,187
30,10,75,0.7,0.592118239068984,0.9984012247742221,187
20,20,65,0.5,0.5921850944229945,0.9975806065859166,187
30,20,65,0.7,0.5921945544342246,1.0041944756601375,187
20,20,75,0.3,0.5922319623754014,0.9931004332229668,187
25,0,90,0.7,0.5923898552663104,0.99393839200412,187
20,30,65,0.3,0.5924617307631015,0.9960210166694058,187
15,10,75,0.5,0.5925132408016041,0.994092097573378,187
20,10,100,0.3,0.5926103895176469,0.9912186075714892,187
15,10,100,0.3,0.5926583134358286,0.9910238397613427,187
30,40,65,0.3,0.5927343737315508,0.9997147631820184,187
25,10,100,0.3,0.5927432113042782,0.9917087668021841,187
25,20,75,0.3,0.5928176348016042,0.9948029444021447,187
20,10,75,0.5,0.5928820029058823,0.9954677615462887,187
30,0,90,0.7,0.5929264324160426,0.9953832425587293,187
30,10,100,0.3,0.5930241002026739,0.9924555501254951,187
15,10,65,0.7,0.5930514759491978,1.0001138223826938,187
25,20,65,0.5,0.593110150388235,1.000614084998385,187
15,10,90,0.3,0.5932703239336896,0.9923553207371795,187
25,30,65,0.3,0.5933037048620324,0.9987027696611221,187
20,10,90,0.3,0.5933651374256687,0.9928737954659251,187
20,0,100,0.5,0.5934749154561495,0.9930115422056113,187
25,10,75,0.5,0.5935256346898394,0.9974017590280706,187
15,0,100,0.5,0.5935312755524063,0.9927775842352345,187
30,20,75,0.3,0.5935930426914441,0.9969333176694525,187
25,0,100,0.5,0.5936238542181815,0.9935785473008073,187
25,10,90,0.3,0.593659028234225,0.9937417023102603,187
20,10,65,0.7,0.5937820249358292,1.0029173451300404,187
30,0,100,0.5,0.5939427543550797,0.9944393406972234,187
30,10,90,0.3,0.594114411952941,0.9949165247326563,187
30,20,65,0.5,0.5942807022411759,1.0043537707633559,187
30,30,65,0.3,0.59436321625508,1.0019689491887063,187
15,0,90,0.5,0.5943687341026743,0.9946958185327548,187
30,10,75,0.5,0.5943889404737968,0.9998396444073003,187
20,0,90,0.5,0.5944638267903745,0.9952895952063772,187
15,20,65,0.3,0.5945529474652405,0.9978563256101574,187
15,0,75,0.7,0.5946065586513372,0.9989351752625255,187
25,0,90,0.5,0.5947847163433156,0.9962812710412334,187
25,10,65,0.7,0.5948488433721927,1.006625617846658,187
20,0,75,0.7,0.5950471374614975,1.0006175762385547,187
20,20,65,0.3,0.5952036047187168,1.0000581710960714,187
15,40,50,0.7,0.5952120757363638,1.0158445153067845,187
30,0,90,0.5,0.5952893769919786,0.9976227196385499,187
15,10,65,0.5,0.5953887821048129,1.0012399317548368,187
15,10,75,0.3,0.5954595840299468,0.9970049552808473,187
15,30,50,0.7,0.595759793996257,1.0172152917589938,187
25,0,75,0.7,0.5957789409518719,1.0029258677774482,187
20,10,75,0.3,0.5958716092566846,0.9983627916376212,187
20,10,65,0.5,0.5960854870764707,1.0037566226706063,187
25,20,65,0.3,0.5961135966914443,1.0028914203315165,187
30,10,65,0.7,0.596172211907486,1.0112630063469343,187
20,0,100,0.3,0.596205437526203,0.9961171380016972,187
15,0,100,0.3,0.5962125325433155,0.9958383080626109,187
20,40,50,0.7,0.5962888883224599,1.022185657360624,187
25,0,100,0.3,0.5963744108491978,0.9966893858298056,187
25,10,75,0.3,0.5965163251598927,1.0002052932008825,187
30,0,100,0.3,0.5966951909770056,0.9975294517203929,187
30,0,75,0.7,0.5967380448614971,1.0058079176858685,187
20,30,50,0.7,0.5970185319818183,1.0243513498740133,187
15,0,75,0.5,0.5970303530518717,1.0008029111629568,187
15,40,50,0.5,0.5970514459770052,1.0143967124279305,187
25,10,65,0.5,0.5970842684903741,1.0070346519769362,187
15,0,90,0.3,0.5971745300459897,0.9977591682936181,187
30,20,65,0.3,0.597233113042246,1.006328456348013,187
20,0,90,0.3,0.5973146442058824,0.9983789944796119,187
30,10,75,0.3,0.5973480029877003,1.002486102048339,187
20,0,75,0.5,0.5974688494951874,1.0023614251003272,187
25,0,90,0.3,0.5976481954925134,0.9993452232200067,187
15,30,50,0.5,0.5976745880983958,1.0153280486320018,187
25,40,50,0.7,0.5977821447647058,1.0288702966925156,187
20,40,50,0.5,0.5980578360989306,1.0197815017217193,187
15,0,65,0.7,0.5980710312005346,1.0083408120439923,187
15,20,50,0.7,0.5981395470171122,1.0223662224369912,187
30,0,90,0.3,0.5981489796363636,1.0006384016754326,187
25,0,75,0.5,0.5981652711443849,1.0044696196841778,187
30,10,65,0.5,0.5983226203459894,1.0110649048568645,187
15,10,65,0.3,0.5984450366860962,1.0036898723430472,187
25,30,50,0.7,0.5986362349962567,1.028887714072876,187
20,30,50,0.5,0.5988393411556151,1.0210993423800019,187
20,0,65,0.7,0.5988766299240641,1.0114587433915256,187
30,0,75,0.5,0.5990687837422458,1.0070840791374582,187
20,10,65,0.3,0.5991736001673795,1.0060828939158322,187
25,40,50,0.5,0.5994617443882347,1.0267119465343686,187
20,20,50,0.7,0.599519013691979,1.0283481227755922,187
30,40,50,0.7,0.59959283496631,1.0336359109673776,187
15,40,50,0.3,0.5999160279368985,1.0153843391265336,187
25,0,65,0.7,0.5999990009893049,1.0155316519738256,187
15,0,75,0.3,0.6000299666508022,1.0036422073537918,187
15,20,50,0.5,0.6001353107930474,1.0198164196870008,187
25,10,65,0.3,0.6001584468925133,1.0091298830836024,187
