K_SETTLED,HFA,ELO_TO_GOAL_RATIO,REGRESSION_FACTOR,MOV_C1,MOV_C2,USE_ADJ_RATES,brier
30,50,125,0.8,0.0005,1.5,True,0.5784830723262031
20,30,75,0.8,0.001,2.2,False,0.5784866460026737
25,40,100,0.8,0.002,1.5,True,0.5784873812336895
20,50,100,0.7,0.0005,2.2,True,0.5784898435443853
20,30,75,0.8,0.0005,2.2,False,0.5784968101652408
25,40,100,0.8,0.002,2.2,True,0.5784973442909088
20,50,100,0.7,0.001,2.2,True,0.5784994281973259
20,30,75,0.8,0.001,2.2,True,0.5785060269224596
25,30,75,0.8,0.002,1.5,False,0.5785111578909091
30,40,100,0.8,0.001,1.5,True,0.5785189662705885
20,40,75,0.7,0.001,1.5,False,0.5785230024748661
20,50,100,0.7,0.002,2.2,True,0.5785248465754007
20,30,75,0.8,0.0005,2.2,True,0.5785382396663101
30,50,75,0.5,0.002,2.2,True,0.5785438800096258
20,50,100,0.7,0.002,1.5,False,0.5785450771877002
20,50,100,0.7,0.001,1.5,False,0.5785490996032087
25,40,75,0.7,0.0005,1.5,False,0.5785522451828877
20,40,75,0.8,0.0005,1.5,True,0.5785552703625668
20,50,100,0.8,0.0005,3.0,True,0.5785593143791448
20,50,100,0.7,0.0005,1.5,False,0.578564239329412
30,50,100,0.7,0.0005,2.2,False,0.5785752319946527
25,40,75,0.7,0.0005,3.0,False,0.5785842450689841
20,50,100,0.8,0.001,3.0,True,0.578585023254011
30,30,75,0.7,0.002,2.2,False,0.5785862347497327
20,50,75,0.7,0.0005,1.5,True,0.5785869945037431
30,30,75,0.8,0.002,1.5,False,0.5785900890262032
25,40,100,0.8,0.001,1.5,True,0.5786004259524065
25,40,75,0.7,0.001,3.0,False,0.5786077729021393
30,50,100,0.7,0.001,2.2,False,0.5786116288256687
30,40,100,0.8,0.0005,1.5,True,0.5786181286165776
30,30,75,0.7,0.001,2.2,False,0.5786218637839571
20,50,100,0.8,0.002,3.0,True,0.5786388013358291
30,30,75,0.7,0.0005,2.2,False,0.5786470154085562
30,50,75,0.5,0.001,2.2,True,0.5786473129524062
30,40,75,0.7,0.0005,1.5,False,0.5786475008133695
20,40,100,0.8,0.001,1.5,False,0.5786489653545452
30,50,125,0.8,0.0005,1.5,False,0.5786505885433152
