match_id,season,round,home_team_id,away_team_id,home_elo_pre,away_elo_pre,prob_win,prob_draw,prob_loss,predicted_xg_home,predicted_xg_away,actual_home_goals,actual_away_goals,actual_outcome
,2022,18,Normanhurst Eagles FC,Ryde Saints United FC,1513.39,1415.8,0.62686,0.15368,0.21945,3.339,2.072,4,0,1
,2022,18,Eastwood St Andrews FC,Pennant Hills FC,1494.39,1458.82,0.51372,0.17832,0.30796,2.783,2.187,3,0,1
,2022,101,West Pennant Hills Cherrybrook FC,Normanhurst Eagles FC,1641.36,1525.2,0.67046,0.14273,0.18681,3.53,1.984,3,1,1
,2022,102,West Ryde Rovers FC,Eastwood St Andrews FC,1602.35,1507.55,0.6478,0.15087,0.20133,3.339,1.953,1,4,-1
,2022,103,West Pennant Hills Cherrybrook FC,Eastwood St Andrews FC,1648.77,1529.92,0.68552,0.13952,0.17497,3.556,1.917,3,1,1
,2023,1,West Ryde Rovers FC,Epping Eastwood FC,1555.99,1499.06,0.53223,0.14845,0.31933,3.864,3.136,0,4,-1
,2023,1,West Pennant Hills Cherrybrook FC,Hills Hawks FC,1609.27,1508.82,0.58102,0.14281,0.27617,4.027,2.973,4,1,1
,2023,1,Macquarie Dragons FC,Ryde Saints United FC,1504.9,1432.8,0.54931,0.1467,0.30399,3.92,3.08,0,0,0
,2023,1,Normanhurst Eagles FC,St Patrick's FC,1512.44,1500.0,0.48195,0.15217,0.36588,3.697,3.303,4,2,1
,2023,1,Pennant Hills FC,Eastwood St Andrews FC,1461.96,1515.81,0.40781,0.15363,0.43856,3.448,3.552,4,0,1
,2023,2,West Pennant Hills Cherrybrook FC,Epping Eastwood FC,1625.34,1538.27,0.53102,0.16389,0.30509,3.226,2.524,6,0,1
,2023,2,Ryde Saints United FC,West Ryde Rovers FC,1438.73,1516.78,0.53621,0.18468,0.27911,2.607,1.893,1,1,0
,2023,2,Hills Hawks FC,St Patrick's FC,1492.75,1481.75,0.43924,0.16291,0.39784,3.191,3.059,2,2,0
,2023,2,Eastwood St Andrews FC,Macquarie Dragons FC,1482.55,1498.97,0.26183,0.18166,0.55651,1.838,2.662,3,3,0
,2023,2,Normanhurst Eagles FC,Pennant Hills FC,1530.69,1495.22,0.42722,0.1666,0.40618,3.033,2.967,2,2,0
,2023,3,Epping Eastwood FC,Ryde Saints United FC,1515.26,1440.8,0.5159,0.17755,0.30655,2.804,2.196,3,2,1
,2023,3,St Patrick's FC,West Pennant Hills Cherrybrook FC,1484.5,1648.35,0.12218,0.10945,0.76837,1.911,4.214,0,6,-1
,2023,3,West Ryde Rovers FC,Eastwood St Andrews FC,1514.71,1481.26,0.50572,0.17018,0.3241,3.025,2.475,5,0,1
,2023,3,Pennant Hills FC,Hills Hawks FC,1499.2,1490.01,0.62084,0.15201,0.22715,3.434,2.191,1,1,0
,2023,3,Macquarie Dragons FC,Normanhurst Eagles FC,1500.26,1526.71,0.38828,0.17417,0.43755,2.676,2.824,2,1,1
,2023,4,St Patrick's FC,Epping Eastwood FC,1462.07,1527.25,0.30033,0.15818,0.54149,2.656,3.428,1,2,-1
,2023,4,Eastwood St Andrews FC,Ryde Saints United FC,1455.86,1428.81,0.38395,0.17695,0.4391,2.585,2.749,2,3,-1
,2023,4,West Pennant Hills Cherrybrook FC,Pennant Hills FC,1670.77,1496.66,0.80353,0.10069,0.09577,4.136,1.614,3,2,1
,2023,4,Normanhurst Eagles FC,West Ryde Rovers FC,1509.04,1540.11,0.42392,0.17442,0.40167,2.783,2.717,4,0,1
,2023,4,Hills Hawks FC,Macquarie Dragons FC,1492.56,1517.93,0.372,0.17958,0.44842,2.472,2.695,1,2,-1
,2023,5,Epping Eastwood FC,Eastwood St Andrews FC,1543.53,1435.36,0.69412,0.13278,0.1731,3.806,2.069,5,3,1
,2023,5,Pennant Hills FC,St Patrick's FC,1489.35,1445.8,0.64218,0.1477,0.21011,3.501,2.124,0,1,-1
,2023,5,Ryde Saints United FC,Normanhurst Eagles FC,1449.31,1536.76,0.30289,0.1711,0.52601,2.322,2.99,0,2,-1
,2023,5,Macquarie Dragons FC,West Pennant Hills Cherrybrook FC,1536.3,1678.07,0.17856,0.13832,0.68312,1.993,3.632,1,1,0
,2023,5,West Ryde Rovers FC,Hills Hawks FC,1512.39,1474.18,0.52267,0.17147,0.30586,2.981,2.332,5,2,1
,2023,6,Pennant Hills FC,Epping Eastwood FC,1469.11,1553.99,0.3591,0.17125,0.46965,2.632,2.968,1,0,1
,2023,6,Normanhurst Eagles FC,Eastwood St Andrews FC,1552.56,1424.9,0.76104,0.11413,0.12483,4.029,1.821,1,0,1
,2023,6,St Patrick's FC,Macquarie Dragons FC,1466.04,1540.93,0.28657,0.17093,0.5425,2.219,2.981,1,0,1
,2023,6,Hills Hawks FC,Ryde Saints United FC,1456.46,1433.51,0.44862,0.17808,0.37329,2.736,2.514,2,1,1
,2023,6,West Pennant Hills Cherrybrook FC,West Ryde Rovers FC,1673.44,1530.11,0.75765,0.11565,0.1267,3.988,1.812,3,0,1
,2023,7,Epping Eastwood FC,Normanhurst Eagles FC,1536.02,1560.89,0.38295,0.17473,0.44232,2.64,2.818,0,0,0
,2023,7,Macquarie Dragons FC,Pennant Hills FC,1523.33,1487.08,0.49428,0.18282,0.3229,2.661,2.172,3,2,1
,2023,7,Eastwood St Andrews FC,Hills Hawks FC,1416.57,1469.43,0.35237,0.16905,0.47858,2.66,3.048,0,5,-1
,2023,7,West Ryde Rovers FC,St Patrick's FC,1519.37,1483.64,0.53718,0.16814,0.29469,3.076,2.341,2,1,1
,2023,7,Ryde Saints United FC,West Pennant Hills Cherrybrook FC,1420.55,1684.18,0.08085,0.0972,0.82194,1.37,3.964,0,1,-1
,2023,8,Macquarie Dragons FC,Epping Eastwood FC,1535.08,1535.35,0.46765,0.17841,0.35394,2.756,2.422,2,2,0
,2023,8,Hills Hawks FC,Normanhurst Eagles FC,1496.02,1561.56,0.32606,0.17485,0.49909,2.368,2.882,1,1,0
,2023,8,Pennant Hills FC,West Ryde Rovers FC,1475.34,1531.14,0.41503,0.17819,0.40679,2.655,2.631,0,2,-1
,2023,8,West Pennant Hills Cherrybrook FC,Eastwood St Andrews FC,1690.27,1389.98,0.93461,0.04311,0.02228,4.812,0.902,7,1,1
,2023,8,St Patrick's FC,Ryde Saints United FC,1471.87,1414.46,0.51219,0.17795,0.30986,2.794,2.206,3,1,1
,2023,9,Epping Eastwood FC,Hills Hawks FC,1537.0,1497.09,0.52468,0.16925,0.30606,3.05,2.388,3,2,1
,2023,9,West Ryde Rovers FC,Macquarie Dragons FC,1546.5,1533.43,0.46801,0.17823,0.35376,2.762,2.426,2,1,1
,2023,9,Normanhurst Eagles FC,West Pennant Hills Cherrybrook FC,1560.49,1696.41,0.21527,0.15434,0.63039,2.015,3.297,0,1,-1
,2023,9,Ryde Saints United FC,Pennant Hills FC,1403.18,1459.98,0.35378,0.18314,0.46307,2.312,2.625,2,0,1
